SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,bedrooms,bathrooms,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,latitude,longitude,crime_index,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
MLS Listing,,Condo/Co-op,110 Stuart St Ph 1,Boston,MA,2116,1690000,1.0,2.0,Back Bay,1393.0,1393.0,2009.0,1,1213.0,2091.0,Active,January-24-2019 11:00 AM,January-24-2019 01:00 PM,http://www.redfin.com/MA/Boston/110-Stuart-St-02116/unit-1/home/39913555,MLS PIN,72445294,N,Y,42.350792299999995,-71.0655898,2.6180440992957923,0.5367388298882646,3.17187897345269,4.237603484111567,0.5150879783211232,1.6470231637746513,1.0816360262562201,3.163608980140339,10.244095197354145
MLS Listing,,Single Family Residential,9 Sewall,Boston,MA,2120,1399000,5.0,4.0,Mission Hill,2500.0,1306.0,1890.0,1,560.0,,Active,January-27-2019 12:30 PM,January-27-2019 02:00 PM,http://www.redfin.com/MA/Roxbury-Crossing/9-Sewall-St-02120/home/144350540,MLS PIN,72445270,N,Y,42.331315999999994,-71.098336,2.6574777934075406,1.6332876991544054,3.1131766001160566,3.1368690971367346,1.7602876936648568,0.6061962592889575,3.1991795147931454,1.1910882223050911,9.756699045178223
MLS Listing,,Condo/Co-op,45 First Ave #407,Boston,MA,2129,499000,0.0,1.0,Charlestown's Navy Yard,500.0,,2015.0,1,998.0,397.0,Active,January-27-2019 11:00 AM,January-27-2019 12:30 PM,http://www.redfin.com/MA/Boston/45-1st-Ave-02129/unit-407/home/101674077,MLS PIN,72445268,N,Y,42.3761429,-71.0529662,2.489792835378582,2.2768628492600533,3.401938486925812,5.0083472981303565,2.118175164609376,3.286597835218681,0.8570123535114258,4.97561272472036,11.735665542761275
MLS Listing,,Condo/Co-op,82-84 E Brookline St #6,Boston,MA,2118,1295000,2.0,1.5,South End,1404.0,1404.0,2002.0,1,922.0,308.0,Active,January-26-2019 01:30 PM,January-26-2019 03:00 PM,http://www.redfin.com/MA/Boston/82-E-Brookline-St-02118/unit-6/home/21727230,MLS PIN,72445255,N,Y,42.3375029,-71.06973070000001,2.6543603502185356,0.7450410063391424,3.560178772518869,4.242283350555043,0.9449257356723778,1.2447946182038712,1.988465358453379,2.3399916362428073,9.465355746732195
MLS Listing,,Condo/Co-op,23 Dix St #2,Boston,MA,2122,549000,2.0,2.0,Dorchester,1197.0,7500.0,1930.0,1,459.0,300.0,Active,January-27-2019 12:00 PM,January-27-2019 01:30 PM,http://www.redfin.com/MA/Dorchester/23-Dix-St-02122/unit-2/home/151700339,MLS PIN,72445221,N,Y,42.295087,-71.0604111,2.6311108927852374,3.6973545943358026,6.205492605083058,6.242806626755347,3.901544377239203,3.5101609349493175,4.750909434133961,2.5683623992163556,6.617044761019373
MLS Listing,,Condo/Co-op,23 Dix St #4,Boston,MA,2122,599000,2.0,2.0,Dorchester,1193.0,7500.0,1930.0,1,502.0,300.0,Active,January-27-2019 12:00 PM,January-27-2019 01:30 PM,http://www.redfin.com/MA/Dorchester/23-Dix-St-02122/unit-4/home/151675827,MLS PIN,72445218,N,Y,42.295087,-71.0604111,2.6311108927852374,3.6973545943358026,6.205492605083058,6.242806626755347,3.901544377239203,3.5101609349493175,4.750909434133961,2.5683623992163556,6.617044761019373
MLS Listing,,Single Family Residential,23 Lochland Rd,Boston,MA,2136,750000,6.0,4.0,Fairmount Hill,3378.0,6074.0,1997.0,1,222.0,,Active,January-27-2019 12:00 PM,January-27-2019 02:00 PM,http://www.redfin.com/MA/Hyde-Park/23-Lochland-Rd-02136/home/9224889,MLS PIN,72445217,N,Y,42.2505283,-71.1094565,2.442448289808553,6.922853169321583,8.51249469194537,7.684207135725792,7.112511926519713,6.189587234481244,8.319961647872482,4.423135167656994,6.31573321984665
MLS Listing,,Condo/Co-op,23 Dix St #3,Boston,MA,2122,639000,3.0,2.0,Dorchester,1297.0,7500.0,1930.0,1,493.0,300.0,Active,January-27-2019 12:00 PM,January-27-2019 01:30 PM,http://www.redfin.com/MA/Dorchester/23-Dix-St-02122/unit-3/home/151659973,MLS PIN,72445215,N,Y,42.295087,-71.0604111,2.6311108927852374,3.6973545943358026,6.205492605083058,6.242806626755347,3.901544377239203,3.5101609349493175,4.750909434133961,2.5683623992163556,6.617044761019373
MLS Listing,,Condo/Co-op,1480 Commonwealth Ave Unit 6B,Boston,MA,2134,349900,1.0,1.0,Brighton,540.0,,1910.0,1,648.0,387.0,Active,January-26-2019 12:00 PM,January-26-2019 02:00 PM,http://www.redfin.com/MA/Boston/1480-Commonwealth-Ave-02134/unit-6B/home/151507505,MLS PIN,72445201,N,Y,42.3593008,-71.1270268,2.5031661962861786,2.7793283325029514,1.0648314632275488,1.0645147413881808,2.700288951845769,2.180145672975755,3.7668547954234457,3.3273614618675285,12.174336979772322
MLS Listing,,Single Family Residential,30 Alberta St,Boston,MA,2132,699900,5.0,2.5,West Roxbury,2145.0,3078.0,1940.0,1,326.0,,Active,January-26-2019 11:30 AM,January-26-2019 01:00 PM,http://www.redfin.com/MA/West-Roxbury/30-Alberta-St-02132/home/9213878,MLS PIN,72445167,N,Y,42.2807214,-71.15949609999998,2.3476889418546474,6.320864393292478,6.734912284401518,5.379018492503434,6.452056971081615,5.265898090596263,7.887107885670529,3.705683026324986,9.560230943165653
