SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,7 Upton St #4,Boston,MA,02118,1800000,2,2.0,South End,1620,1620,1899,1,1111,260,Active,,,http://www.redfin.com/MA/Boston/7-Upton-St-02118/unit-4/home/21718102,MLS PIN,72454700,N,Y,42.3419796,-71.0714676
MLS Listing,,Multi-Family (2-4 Unit),95 Belgrade Ave,Boston,MA,02131,679900,4,3.0,Roslindale,1987,5000,1925,1,342,,Active,February-23-2019 11:00 AM,February-23-2019 12:00 PM,http://www.redfin.com/MA/Roslindale/95-Belgrade-Ave-02131/home/9171907,MLS PIN,72454694,N,Y,42.2864898,-71.1341522
MLS Listing,,Condo/Co-op,29 CONCORD Ave #809,Cambridge,MA,02138,565000,1,1.0,Cambridge,502,,1965,1,1125,414,Active,,,http://www.redfin.com/MA/Cambridge/29-Concord-Ave-02138/unit-809/home/11586593,MLS PIN,72454682,N,Y,42.3797068,-71.1256169
MLS Listing,,Multi-Family (2-4 Unit),472 Warren St,Boston,MA,02121,1199000,11,3.0,Boston,5718,2966,1899,1,210,,Active,,,http://www.redfin.com/MA/Boston/472-Warren-St-02121/home/9223941,MLS PIN,72454671,N,Y,42.3150527,-71.0832273
MLS Listing,,Condo/Co-op,128 Beacon Unit H,Boston,MA,02116,7600000,3,3.5,Back Bay,3347,,1899,1,2271,3829,Active,,,http://www.redfin.com/MA/Boston/128-Beacon-St-02116/unit-H/home/11838703,MLS PIN,72454644,N,Y,42.35518,-71.074644
MLS Listing,,Condo/Co-op,172 Beacon #3,Boston,MA,02116,4595000,3,2.5,Back Bay,3240,,1929,1,1418,2424,Active,,,http://www.redfin.com/MA/Boston/172-Beacon-St-02116/unit-3/home/9251831,MLS PIN,72454641,N,Y,42.3546279,-71.07663
MLS Listing,,Condo/Co-op,105 Beacon St,Boston,MA,02116,1095000,2,1.0,Back Bay,1278,,1900,1,857,456,Active,February-20-2019 12:00 PM,February-20-2019 01:30 PM,http://www.redfin.com/MA/Boston/105-Beacon-St-02116/unit-1A/home/12439513,MLS PIN,72454622,N,Y,42.355041,-71.072964
MLS Listing,,Condo/Co-op,102 Hampshire St #2,Cambridge,MA,02139,589900,2,1.0,Cambridge,753,,1900,1,783,237,Active,,,http://www.redfin.com/MA/Cambridge/102-Hampshire-St-02139/unit-2/home/11556333,MLS PIN,72454592,N,Y,42.3691561,-71.0954902
MLS Listing,,Condo/Co-op,201 Newbury St #305,Boston,MA,02116,1399000,2,2.0,Back Bay,1262,1262,1987,1,1109,1491,Active,February-23-2019 12:30 PM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Boston/201-Newbury-St-02116/unit-305/home/9238176,MLS PIN,72454588,N,Y,42.3503967,-71.0804598
MLS Listing,,Condo/Co-op,542 Dorchester Ave #203,Boston,MA,02127,729000,2,2.0,South Boston,1011,,2016,1,721,192,Active,February-23-2019 12:00 PM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Boston/542-Dorchester-Ave-02127/unit-203/home/108273416,MLS PIN,72454581,N,Y,42.3307319,-71.0567645
MLS Listing,,Multi-Family (2-4 Unit),59 Tyler St,Boston,MA,02136,499000,4,2.0,Hyde Park's Fairmount,2008,7830,1950,1,249,,Active,February-24-2019 12:00 PM,February-24-2019 01:30 PM,http://www.redfin.com/MA/Hyde-Park/59-Tyler-St-02136/home/9132278,MLS PIN,72454565,N,Y,42.2451974,-71.1240327
MLS Listing,,Condo/Co-op,250 Commonwealth Ave #14,Boston,MA,02116,2260000,3,2.5,Back Bay,1879,1879,1878,1,1203,1134,Active,February-23-2019 01:00 PM,February-23-2019 03:00 PM,http://www.redfin.com/MA/Boston/250-Commonwealth-Ave-02116/unit-14/home/9266607,MLS PIN,72454552,N,Y,42.3501458,-71.0828323
MLS Listing,,Condo/Co-op,580 Washington St #201,Boston,MA,02111,1799000,3,2.0,Midtown,1478,,2013,1,1217,1624,Active,,,http://www.redfin.com/MA/Boston/580-Washington-St-02111/unit-201/home/85680484,MLS PIN,72454545,N,Y,42.3533804,-71.0619769
MLS Listing,,Townhouse,146 Worcester St #4,Boston,MA,02118,1249000,2,2.0,South End,1174,1174,1900,1,1064,194,Active,February-23-2019 01:00 PM,February-23-2019 02:30 PM,http://www.redfin.com/MA/Boston/146-Worcester-St-02118/unit-4/home/21717983,MLS PIN,72454544,N,Y,42.3410225,-71.0800901
MLS Listing,,Condo/Co-op,336 Chelsea St #1,Boston,MA,02128,599000,2,2.0,East Boston,1077,4250,2019,1,556,385,Active,,,http://www.redfin.com/MA/Boston/336-Chelsea-St-02128/unit-1/home/160495600,MLS PIN,72454525,N,Y,42.3776423,-71.0298014
MLS Listing,,Condo/Co-op,39 Bartlett St #3,Boston,MA,02129,865900,3,1.0,Charlestown,1140,,1890,1,760,221,Active,February-23-2019 12:00 PM,February-23-2019 01:30 PM,http://www.redfin.com/MA/Boston/39-Bartlett-St-02129/unit-3/home/9310180,MLS PIN,72454467,N,Y,42.3779964,-71.0629726
