n_neighborhoods,n_estimators,kernel_bandwidth,kernel_type,max_depth,train_score,test_score
11,71,0.0066613339705309344,tophat,9,25.460437184968825,34.83479257156054
10,43,0.004508958186289409,gaussian,10,23.069363190105378,34.837631854150914
11,75,0.009736200262552673,tophat,9,25.363092710398703,34.83790100357058
3,77,0.0024921534598948566,tophat,8,27.43260169494954,34.8446447384959
3,137,0.008848683279666827,tophat,11,21.841174371830874,34.8449709205309
4,93,0.0027125572885116356,gaussian,11,21.641899560359377,34.84521768601326
10,147,0.003072946167924071,gaussian,7,29.172680382546815,34.848876340988426
6,83,0.0015537026065752962,gaussian,5,33.29181608604304,34.850300701346555
10,95,0.0032080679001872114,exponential,11,21.089924297104062,34.85518580368773
8,41,0.0038435026207563143,exponential,9,25.40575575694811,34.857690039206005
3,122,0.006612823209074238,gaussian,5,33.24581260444046,34.8582852103456
5,79,0.004370332781954866,exponential,8,27.305185251406016,34.861418530258305
10,142,0.005857741944663354,exponential,8,27.129146703371077,34.86606050445147
11,64,0.00772737340059012,tophat,11,20.888710297248394,34.867722662711515
11,131,0.0025277974834407245,gaussian,7,29.278799460506036,34.8902266829426
9,76,0.0008252691691232496,gaussian,11,21.97325014209065,34.89965068652765
11,76,0.0013766586138314655,gaussian,10,23.56027903766045,34.90262549354165
7,99,0.00733477224752854,gaussian,5,33.78513817030296,34.914333571436174
6,142,0.00040194351524939343,gaussian,10,23.641081856534953,34.91513723189925
10,147,0.0023872981135827187,exponential,6,31.82417548672126,34.91606731139515
8,10,0.004580705228159033,exponential,8,27.708043246358898,34.91874581765728
7,29,0.002664828423489373,tophat,8,27.417582024195895,34.934093017941706
7,80,0.00809362378340679,tophat,11,21.486425625494206,34.934620797051764
4,75,0.0024264290740807232,gaussian,6,31.628196438658193,34.936230107898666
6,63,0.006524422613039245,tophat,8,27.29310890008493,34.93665625933457
9,114,0.005150277417216202,exponential,7,29.612261890201935,34.94439959287652
4,62,0.006754716782386622,gaussian,7,29.47642112064142,34.94732623299066
7,60,0.0030604040804771966,exponential,10,23.212413224596617,34.953785277818355
9,87,0.0023271624579366923,gaussian,5,33.221700869229466,34.95702295565961
7,74,0.0043048018391768994,exponential,11,21.041903880416214,34.95810327286145
3,64,0.0019327447994212296,gaussian,9,25.268676660916526,34.95951895329031
10,61,0.009107905346848553,tophat,7,29.13193252079455,34.97792458754688
6,47,0.007023710196252584,tophat,6,31.066218738559286,34.980756326607064
11,116,0.006407510985890909,gaussian,5,33.29235244867667,34.98266365771346
10,34,0.009369719652424986,tophat,6,31.137644819875604,34.985551532628975
7,58,0.00673972105589184,tophat,7,29.36667070856953,34.99735114305233
4,65,0.006102918265392663,exponential,9,25.523816920113518,34.99791721414533
10,136,0.007872059706702019,gaussian,9,25.274053125583293,34.999070864089475
4,13,0.0027981141525968787,tophat,10,22.888284914260424,35.00214811197267
5,95,0.004384739625204824,gaussian,5,33.30461332520301,35.01156451837235
9,140,0.008109410546538718,gaussian,5,33.064532920473425,35.02453523201274
7,149,0.009757711666382368,tophat,6,31.828948217871513,35.03063051405556
4,115,0.0009021376816326576,tophat,7,29.337048030977115,35.03893956329293
6,127,0.008759753855034986,gaussian,7,29.7275163619108,35.03915308262364
5,147,0.00812389847269161,exponential,8,27.228060751033468,35.042720694259515
6,67,0.007631260041132038,exponential,6,31.48645669994221,35.04284894151159
6,116,0.004181435443265859,exponential,8,27.286287649581567,35.05384060321326
5,68,0.006228569709255748,gaussian,10,23.44245651251427,35.05633522630322
11,137,0.006553673996290732,exponential,7,29.594961569704424,35.05758227274015
9,52,0.009152853671857631,exponential,8,26.906854569146475,35.07614374783169
11,34,0.008804319942552026,gaussian,7,29.366461526783212,35.077430856069014
11,86,0.00011264245678024622,exponential,5,33.213830025677524,35.078607425665695
5,141,0.0025238068606137,exponential,6,31.54453345709868,35.08445215224799
4,125,0.008251134947768787,tophat,7,29.368174355421502,35.093825196021754
4,102,0.0032243345833143796,exponential,10,23.89394436936729,35.09410079094832
3,51,0.0014350615235113734,gaussian,6,31.525290005223383,35.09749263482925
6,118,0.009586189702669345,gaussian,10,23.193579615310085,35.10841599700446
10,83,0.009624373755410812,gaussian,6,31.59783038382932,35.11298557099795
4,109,0.009703565784062397,tophat,5,33.402543635957585,35.11798377902099
8,94,0.00838696959024819,exponential,6,31.78146987821674,35.121498549903606
6,144,0.005555143020185857,gaussian,9,25.254677468509442,35.128752493336236
11,22,0.008649526832841191,exponential,9,25.581640898534687,35.13210752268472
3,15,0.0008096834191843387,gaussian,9,25.694920638403403,35.13401817377752
11,63,0.008523033000695937,exponential,7,29.42097739208421,35.1348849557576
7,17,0.0063078872394387794,gaussian,9,25.361222014862008,35.136622607737905
3,11,0.009986660600306396,gaussian,5,32.69318072522924,35.14386089132833
10,42,0.004557024503728588,tophat,8,27.565081003068627,35.14391250857446
5,115,0.0004606752333858509,tophat,6,31.35643419727316,35.15493418142404
8,57,0.006815845992220625,tophat,8,27.245500977294995,35.156427623219514
7,131,0.0012123011828785986,tophat,8,27.30099902109228,35.15944074134127
3,42,0.006376003528521847,tophat,5,32.946423156439494,35.160745654657205
8,79,0.0034041381398286713,tophat,5,33.02487404832044,35.16530786736152
8,23,0.009531446335684856,exponential,8,27.819870411760462,35.176443873606985
3,143,0.0017277235823411892,tophat,6,31.405099670582274,35.17729714031114
8,60,0.004705409243967456,gaussian,9,25.425044241394232,35.1773375156979
3,115,0.009698875206815814,gaussian,7,29.32863465746442,35.1779253885033
11,113,0.009832923300035046,gaussian,5,32.9688586951888,35.18451901319182
3,52,0.009211088203895008,gaussian,5,33.3191569200186,35.18712701598719
4,25,0.007175964822111207,exponential,10,23.33717756007485,35.189001388067084
9,121,0.009754415559565731,tophat,6,31.766933259790463,35.190857281087574
3,103,0.0038598958828925355,tophat,7,29.578444961415983,35.20087051370358
8,141,0.0030887616140148357,exponential,11,21.299331818886287,35.21231212736606
5,21,0.009051519737306533,exponential,8,27.431616899651942,35.21577266276557
7,79,0.00227454511271073,exponential,11,21.553060705147402,35.221254043853065
7,118,0.0016719480845195109,gaussian,8,27.119860436522316,35.22139739345586
5,90,0.009539790770665977,exponential,10,23.1508326976178,35.22417654919924
9,105,0.0031263215049545184,tophat,7,29.892619616131526,35.23182410451075
4,128,0.0004881494749924395,exponential,7,29.532222598870504,35.23379781144911
8,36,0.00399522446432248,exponential,11,21.694934883922784,35.242998088536154
10,148,0.009298167716321169,exponential,7,29.476727724134577,35.24466050298807
3,86,0.005734983003908865,exponential,7,29.51940623667757,35.248622362426204
3,112,0.007937989645054227,tophat,10,23.63413574622956,35.24951079154661
6,29,0.00981860418746626,exponential,6,31.45642870506333,35.25235476591902
8,125,0.007935824710779422,exponential,11,21.531797190019716,35.25579950050394
6,134,0.004862940551820226,tophat,5,33.1404000690802,35.25820430990777
9,83,0.009497429037398607,gaussian,7,29.714540252520862,35.26843959793948
11,65,0.005018721016990173,gaussian,7,29.71256580391355,35.26934402639017
7,115,0.009918612757374639,tophat,9,25.669146499741217,35.28868600557
7,122,0.007165155653980509,tophat,5,33.34490196216639,35.304923597070086
8,131,0.007770276305067626,exponential,8,27.518892275534256,35.31044765358803
9,95,0.005680458135559776,gaussian,6,31.42412561650987,35.31789407117785
6,32,0.003124178841419247,exponential,9,25.210691147604308,35.32878954837457
5,137,0.009631380360937325,exponential,6,31.32831535861422,35.331221152118474
4,98,0.007127392327404011,gaussian,5,33.62748141622109,35.336094716115014
10,24,0.0012897349422109259,gaussian,8,26.248606662840388,35.33868240794601
10,25,0.0018994902177401829,exponential,8,27.153346117146185,35.37860796001496
5,25,0.004669798370215878,exponential,8,27.946565896091982,35.381697324775786
6,23,0.0028778980379959664,tophat,6,31.446437971676644,35.38796950227177
5,80,0.006947494726612919,exponential,5,33.261700748905156,35.39130776119447
9,133,0.00768691222562449,gaussian,6,31.454607698267353,35.40081782066213
5,21,0.009969685047173419,exponential,7,29.58768129579832,35.41339043223857
5,140,0.0036900091840786427,exponential,6,31.339544424505448,35.414919853861846
5,73,0.00018347476637787515,exponential,6,31.262043093894334,35.42402547036281
11,87,0.001552903420163551,exponential,10,23.074439456199883,35.433509283196685
10,147,0.006164854720464464,gaussian,7,30.097058493886493,35.433579692074034
6,39,0.007070927074883347,gaussian,6,31.15835812978682,35.444818261167086
4,78,0.008843578655126038,exponential,6,31.348878964729224,35.44641058647386
