model_type,train_rmse,train_mape,valid_rmse,valid_mape,feature_type,log_transform
random_forest,47.62132889346204,32.28081058298659,52.87015194776969,37.654693695775734,simple,False
random_forest,48.480028814584934,31.452345750498722,53.40117619199066,35.3317802527622,simple,True
random_forest,45.3260824630894,30.704324432630443,52.27446057887695,35.97477994740527,full,False
random_forest,46.56939566346472,31.36241989839749,52.90598029627719,34.59646403549917,full,True
